"","Time","Latitude","Longitud","Wind","Pressure","CO2","Population"
"21869",1800,22,-63.2,55,997,5786.141,2536431104
"21870",0,22.7,-63.8,60,995,5786.141,2536431104
"21872",1200,23.4,-65.4,60,995,5786.141,2536431104
"21873",1800,23.9,-66,65,989,5786.141,2536431104
"21876",1200,25.2,-66.8,70,987,5786.141,2536431104
"21880",1200,25.5,-69.3,80,980,5786.141,2536431104
"21884",1200,25.5,-72.6,100,962,5786.141,2536431104
"21888",1200,27.9,-74.9,100,958,5786.141,2536431104
"21892",1200,30.7,-75.5,105,953,5786.141,2536431104
"21925",1200,16.9,-60.6,70,990,5786.141,2536431104
"21926",1800,17,-61,75,987,5786.141,2536431104
"21930",1800,16.8,-62.9,45,1003,5786.141,2536431104
"21950",1800,22.4,-85.3,55,996,5786.141,2536431104
"21953",1200,23,-87.2,55,998,5786.141,2536431104
"21954",1800,23.2,-87.5,55,996,5786.141,2536431104
"21963",0,29.4,-88.2,75,979,5786.141,2536431104
"21964",300,30.2,-88,75,979,5786.141,2536431104
"22005",1200,29.5,-57.5,85,974,5786.141,2536431104
"22022",1800,34.3,-61.4,75,980,5786.141,2536431104
"22037",1200,16.2,-59.2,110,953,5786.141,2536431104
"22045",1200,19.5,-64.3,100,962,5786.141,2536431104
"22066",1800,30.4,-67.4,85,972,5786.141,2536431104
"22074",1800,30.5,-69.3,65,987,5786.141,2536431104
"22077",1200,31,-71,65,986,5786.141,2536431104
"22078",1800,32,-71.5,65,986,5786.141,2536431104
"22079",0,33.3,-72.1,75,982,5786.141,2536431104
"22080",600,34.9,-72.2,80,978,5786.141,2536431104
"22081",1200,36.4,-71.9,85,974,5786.141,2536431104
"22082",1800,37.9,-71.4,85,972,5786.141,2536431104
"22085",1200,40.4,-66.9,70,979,5786.141,2536431104
"22108",1200,20.7,-83.3,55,996,5786.141,2536431104
"22109",1800,20.9,-83.2,55,995,5786.141,2536431104
"22114",1200,23.8,-82.3,75,980,5786.141,2536431104
"22115",1800,24.9,-82.6,75,980,5786.141,2536431104
"22118",1200,27.7,-83.5,85,973,5786.141,2536431104
"22119",1800,28,-83.8,85,973,5786.141,2536431104
"22123",1700,29.1,-82.8,105,960,5786.141,2536431104
"22124",1800,29.1,-82.8,105,960,5786.141,2536431104
"22152",1800,17.9,-48.8,55,995,5786.141,2536431104
"22156",1800,19.6,-51.2,75,986,5786.141,2536431104
"22160",1800,22.3,-54.2,85,977,5786.141,2536431104
"22171",1200,28.2,-59.7,120,946,5786.141,2536431104
"22198",1800,29.8,-64.5,70,978,5786.141,2536431104
"22205",1200,31.9,-67.5,90,969,5786.141,2536431104
"22209",1200,37.3,-65.7,95,960,5786.141,2536431104
"22239",0,22.4,-92.2,45,1002,5786.141,2536431104
"22243",0,20.5,-94.3,75,990,5786.141,2536431104
"22246",1800,19.4,-95.4,90,980,5786.141,2536431104
"22289",1800,17.7,-80,55,992,5786.141,2536431104
"22292",1200,19.3,-78.7,75,985,5786.141,2536431104
"22297",1200,23.2,-79,70,988,5786.141,2536431104
"22300",500,25.7,-80.2,115,955,5786.141,2536431104
"22301",600,25.9,-80.3,115,955,5786.141,2536431104
"22302",1200,27.1,-81,80,975,5786.141,2536431104
"22303",1800,28.6,-81.5,70,983,5786.141,2536431104
"22304",0,30,-82.4,65,989,5786.141,2536431104
"22305",600,31.1,-83.5,45,992,5786.141,2536431104
"22306",1200,31.7,-84.5,35,996,5786.141,2536431104
"22307",1800,32.1,-85.3,25,999,5786.141,2536431104
"22308",0,32.5,-86,20,1000,5786.141,2536431104
"22309",600,32.9,-86.5,20,1002,5786.141,2536431104
"22347",1200,26,-91.6,60,990,5786.141,2536431104
"22348",1800,25.6,-91,65,990,5786.141,2536431104
"22349",0,25.4,-89.6,70,987,5786.141,2536431104
"22352",1800,26.4,-86.5,70,991,5786.141,2536431104
"22444",1800,27.5,-78.9,70,983,6226.396,2584034048
"22447",1200,27,-77.9,75,982,6226.396,2584034048
"22448",1800,27.2,-77.5,70,985,6226.396,2584034048
"22451",1200,28.1,-76.6,75,982,6226.396,2584034048
"22453",0,29.5,-76,75,980,6226.396,2584034048
"22456",1800,32.4,-75.2,75,979,6226.396,2584034048
"22459",1200,35.6,-74.2,75,978,6226.396,2584034048
"22460",1800,36.1,-73.8,75,976,6226.396,2584034048
"22463",1200,36.6,-71.1,80,973,6226.396,2584034048
"22467",1200,37.3,-65,75,984,6226.396,2584034048
"22472",1800,40.5,-58.7,35,994,6226.396,2584034048
"22482",1200,31.9,-60.8,45,999,6226.396,2584034048
"22487",1800,40.6,-56.1,50,996,6226.396,2584034048
"22502",1200,14.4,-58.9,55,999,6226.396,2584034048
"22506",1200,15.9,-66.7,65,992,6226.396,2584034048
"22510",1200,16.6,-73.1,85,978,6226.396,2584034048
"22511",1800,17.1,-74.6,95,971,6226.396,2584034048
"22517",0,18.9,-82.2,80,982,6226.396,2584034048
"22519",1200,19.4,-84.5,85,976,6226.396,2584034048
"22527",0,21.6,-91.6,65,989,6226.396,2584034048
"22530",1800,21.6,-94.3,65,988,6226.396,2584034048
"22531",0,21.7,-94.9,70,982,6226.396,2584034048
"22533",1200,22.1,-96.6,85,972,6226.396,2584034048
"22534",1800,22.2,-97.5,100,968,6226.396,2584034048
"22535",1900,22.3,-97.8,100,968,6226.396,2584034048
"22567",0,14.3,-64.3,70,992,6226.396,2584034048
"22570",1800,14.8,-69.4,70,993,6226.396,2584034048
"22573",1200,15.1,-74.2,45,1004,6226.396,2584034048
"22599",1200,22.3,-60.6,90,967,6226.396,2584034048
"22600",1800,22.6,-61.9,100,957,6226.396,2584034048
"22604",1800,25.4,-66.9,125,937,6226.396,2584034048
"22672",1800,20.8,-95.2,50,999,6226.396,2584034048
"22689",1200,26.1,-86.8,40,1003,6226.396,2584034048
"22698",1200,31.4,-76.5,75,982,6226.396,2584034048
"22699",1800,32.1,-76.1,80,979,6226.396,2584034048
"22703",1800,34.9,-74,80,975,6226.396,2584034048
"22706",1200,36.9,-71.6,85,972,6226.396,2584034048
"22711",1800,40.3,-61.2,75,963,6226.396,2584034048
"22740",1800,20.5,-81.8,55,1000,6226.396,2584034048
"22744",1800,21.1,-81.9,55,998,6226.396,2584034048
"22747",1200,21.7,-82,25,1009,6226.396,2584034048
"22756",0,31.1,-74.4,65,990,6226.396,2584034048
"22758",1200,31.7,-73.3,60,1000,6226.396,2584034048
"22760",0,32.4,-71.9,55,999,6226.396,2584034048
"22859",1200,21.9,-64.6,55,1003,6310.375,2630862080
"22860",1800,22.2,-65.6,60,998,6310.375,2630862080
"22863",1200,24.2,-69.3,55,1002,6310.375,2630862080
"22864",1800,25.1,-70.6,50,1003,6310.375,2630862080
"22867",1200,27.4,-74.9,60,999,6310.375,2630862080
"22871",1200,29.8,-79.5,70,992,6310.375,2630862080
"22872",1800,30.7,-79.9,80,983,6310.375,2630862080
"22898",600,18.2,-58.7,60,1003,6310.375,2630862080
"22903",1200,22.8,-63,65,993,6310.375,2630862080
"22904",1800,23.7,-64.2,65,996,6310.375,2630862080
"22907",1200,25.9,-67.1,65,993,6310.375,2630862080
"22908",1800,26.5,-68,65,993,6310.375,2630862080
"22912",1800,30.7,-70.7,70,983,6310.375,2630862080
"22916",1800,33.1,-71,70,983,6310.375,2630862080
"22919",1200,34.3,-69.7,75,981,6310.375,2630862080
"22920",1800,35.1,-69,80,978,6310.375,2630862080
"22924",1800,40.4,-60.1,95,969,6310.375,2630862080
"22962",1800,26.5,-74.6,70,993,6310.375,2630862080
"22963",0,27.2,-74.9,75,989,6310.375,2630862080
"22965",1200,29,-74.3,95,969,6310.375,2630862080
"22969",1200,33.8,-68.6,100,958,6310.375,2630862080
"22993",1800,16.6,-54,60,998,6310.375,2630862080
"22996",1200,18,-55.5,45,1002,6310.375,2630862080
"22997",1800,18.7,-55.9,45,1001,6310.375,2630862080
"23000",1200,20.4,-57,40,1001,6310.375,2630862080
"23005",1800,21.5,-58.9,30,1009,6310.375,2630862080
"23008",1200,22.1,-59.6,25,1008,6310.375,2630862080
"23036",1800,16.7,-50.6,50,995,6310.375,2630862080
"23040",1800,18,-50.4,90,968,6310.375,2630862080
"23044",1800,17.7,-49.4,40,1001,6310.375,2630862080
"23057",1800,16.6,-81.8,45,1003,6310.375,2630862080
"23061",1800,17.3,-82,60,993,6310.375,2630862080
"23064",1200,18.3,-82,110,942,6310.375,2630862080
"23068",1200,21,-81.3,120,940,6310.375,2630862080
"23069",1800,22,-80.9,125,934,6310.375,2630862080
"23073",1800,24.4,-78.4,60,991,6310.375,2630862080
"23074",1900,24.4,-78.3,60,991,6310.375,2630862080
"23081",0,24.4,-74.5,55,994,6310.375,2630862080
"23133",1800,20.5,-84,40,1000,6486.28,2677608960
"23138",1800,22.2,-84.5,40,1003,6486.28,2677608960
"23142",1800,24.2,-85.4,50,997,6486.28,2677608960
"23143",0,24,-85.2,50,996,6486.28,2677608960
"23146",1800,23.1,-84.3,40,999,6486.28,2677608960
"23159",0,28.7,-85.8,55,994,6486.28,2677608960
"23189",1200,29.1,-75.6,60,1005,6486.28,2677608960
"23191",0,30.5,-76.1,65,1002,6486.28,2677608960
"23193",1200,32.3,-76.5,65,995,6486.28,2677608960
"23194",1800,33.4,-76.4,70,987,6486.28,2677608960
"23201",1800,37.6,-74.9,80,973,6486.28,2677608960
"23231",1200,15.7,-52.7,120,944,6486.28,2677608960
"23236",1800,20,-60.1,140,929,6486.28,2677608960
"23240",1800,24.9,-64,115,942,6486.28,2677608960
"23243",1200,28.8,-66.5,110,945,6486.28,2677608960
"23248",1800,35,-70,85,962,6486.28,2677608960
"23280",1200,20.7,-69.4,50,1005,6486.28,2677608960
"23283",600,23,-70.1,60,999,6486.28,2677608960
"23284",1200,23.9,-70.5,65,990,6486.28,2677608960
"23285",1800,24.9,-70.8,65,989,6486.28,2677608960
"23291",500,32.3,-64.8,55,996,6486.28,2677608960
"23292",600,32.7,-64.4,55,996,6486.28,2677608960
"23293",1200,34.7,-61.8,55,994,6486.28,2677608960
"23312",1200,20.9,-66.8,65,995,6486.28,2677608960
"23313",1800,21.9,-68,75,987,6486.28,2677608960
"23316",1200,24.6,-70.8,80,977,6486.28,2677608960
"23317",1800,25.8,-71.1,90,969,6486.28,2677608960
"23320",1200,29.3,-69.1,95,966,6486.28,2677608960
"23321",1800,30.7,-67.6,100,962,6486.28,2677608960
"23363",1800,21.3,-85.4,55,1001,6486.28,2677608960
"23366",1200,24.6,-87.6,90,968,6486.28,2677608960
"23382",1200,14.8,-42.8,70,986,6486.28,2677608960
"23415",1800,31.6,-59.8,50,997,6486.28,2677608960
"23443",1800,23.2,-85.7,45,1002,6486.28,2677608960
"23453",1800,32.6,-71.4,60,989,6486.28,2677608960
"23580",1000,29.7,-92.8,50,999,6629.184,2724847104
"23581",1200,29.9,-93,50,999,6629.184,2724847104
"23582",1800,30.4,-93.7,40,1002,6629.184,2724847104
"23591",1800,28.5,-76.3,45,1002,6629.184,2724847104
"23593",600,29.3,-76.3,50,1002,6629.184,2724847104
"23594",1200,29.6,-76.4,60,995,6629.184,2724847104
"23595",1800,29.8,-76.5,70,984,6629.184,2724847104
"23596",0,30,-76.7,80,981,6629.184,2724847104
"23598",1200,30.3,-77.2,85,975,6629.184,2724847104
"23607",1800,33,-77.2,95,962,6629.184,2724847104
"23608",0,34.2,-76.1,95,960,6629.184,2724847104
"23610",1200,39.5,-72.8,100,955,6629.184,2724847104
"23611",1400,40.9,-72.2,100,955,6629.184,2724847104
"23612",1500,41.3,-72,100,957,6629.184,2724847104
"23613",1800,43.1,-71.4,80,970,6629.184,2724847104
"23614",0,46.2,-70.9,50,987,6629.184,2724847104
"23615",600,48.5,-70.5,40,992,6629.184,2724847104
"23622",0,34.6,-69.3,70,994,6629.184,2724847104
"23644",1200,22.9,-72.8,65,995,6629.184,2724847104
"23645",1800,23.6,-73.5,70,992,6629.184,2724847104
"23646",0,24.2,-74.3,75,990,6629.184,2724847104
"23648",1200,25.5,-75.2,85,979,6629.184,2724847104
"23649",1800,26.3,-75.4,95,968,6629.184,2724847104
"23653",1800,28.8,-76.5,110,945,6629.184,2724847104
"23658",0,34,-74.8,110,943,6629.184,2724847104
"23661",1800,41.1,-70.7,95,950,6629.184,2724847104
"23662",1830,41.4,-70.5,95,950,6629.184,2724847104
"23663",1900,41.7,-70.3,95,952,6629.184,2724847104
"23664",1930,41.9,-70.1,90,954,6629.184,2724847104
"23689",0,21,-95.9,50,1001,6629.184,2724847104
"23714",0,16.6,-86.8,55,998,6629.184,2724847104
"23779",1800,12.1,-60.5,55,1002,6629.184,2724847104
"23782",1200,12.5,-64.3,70,998,6629.184,2724847104
"23783",1800,12.6,-65.6,70,998,6629.184,2724847104
"23786",1200,13.2,-68.7,70,997,6629.184,2724847104
"23787",1800,13.5,-69.7,70,994,6629.184,2724847104
"23790",1200,13.6,-71.8,75,986,6629.184,2724847104
"23813",1800,21.7,-73.3,85,972,6629.184,2724847104
"23814",0,22.7,-73.5,85,974,6629.184,2724847104
"23820",1200,32.7,-78.7,115,938,6629.184,2724847104
"23821",1530,33.9,-78.6,115,938,6629.184,2724847104
"23822",1800,36,-78.3,80,970,6629.184,2724847104
"23825",1200,48.8,-80,50,982,6629.184,2724847104
"23826",1800,51.5,-79.5,45,988,6629.184,2724847104
"23855",1200,22,-51.6,35,1007,6629.184,2724847104
"23877",1800,16.1,-44.2,40,1004,7258.204,2773019904
"23885",1800,18.5,-57.9,75,985,7258.204,2773019904
"23889",1800,19.6,-63.9,100,968,7258.204,2773019904
"23892",1200,22,-67.6,115,952,7258.204,2773019904
"23893",1800,22.8,-68.8,120,944,7258.204,2773019904
"23896",1200,26.1,-71.8,110,944,7258.204,2773019904
"23897",1800,27,-72.3,105,944,7258.204,2773019904
"23900",1200,29.4,-73.8,100,959,7258.204,2773019904
"23901",1800,30,-74.2,95,961,7258.204,2773019904
"23904",1200,30.9,-75.8,85,972,7258.204,2773019904
"23905",1800,31.1,-76.4,85,970,7258.204,2773019904
"23906",0,31.3,-76.9,80,973,7258.204,2773019904
"23908",1200,32.1,-77,75,978,7258.204,2773019904
"23909",1800,32.7,-77.1,75,977,7258.204,2773019904
"23912",1200,34.3,-76.8,85,965,7258.204,2773019904
"23913",1500,34.7,-76.7,85,962,7258.204,2773019904
"23914",1800,35,-76.6,85,962,7258.204,2773019904
"23915",0,36.3,-76.1,75,969,7258.204,2773019904
"23916",600,37.7,-76.2,60,974,7258.204,2773019904
"23917",1200,39.1,-76.6,50,982,7258.204,2773019904
"23918",1800,40.5,-77.4,45,995,7258.204,2773019904
"23919",0,41.9,-79.3,45,998,7258.204,2773019904
"23920",600,42.9,-81.3,40,1002,7258.204,2773019904
"23921",1200,43.7,-82.5,40,1006,7258.204,2773019904
"23922",1800,44.5,-83.3,35,1010,7258.204,2773019904
"23923",0,45.4,-83,35,1011,7258.204,2773019904
"23942",1800,23.8,-61.8,45,1004,7258.204,2773019904
"23946",1800,25.5,-61,75,975,7258.204,2773019904
"23947",0,26,-60.8,70,980,7258.204,2773019904
"23950",1800,27.4,-62.6,90,969,7258.204,2773019904
"23952",600,27.3,-64.7,80,976,7258.204,2773019904
"23953",1200,27.5,-65.7,75,980,7258.204,2773019904
"23956",600,28.7,-69.5,80,973,7258.204,2773019904
"23958",1800,29.7,-72.3,80,973,7258.204,2773019904
"23961",1200,30.9,-75.3,75,982,7258.204,2773019904
"23962",1800,31.7,-76.2,75,983,7258.204,2773019904
"23963",0,32.5,-76.9,70,984,7258.204,2773019904
"23965",1200,34,-77.9,60,985,7258.204,2773019904
"23966",1800,35.1,-78.4,55,990,7258.204,2773019904
"23967",0,36.5,-78.7,50,993,7258.204,2773019904
"23968",600,37.8,-78.8,45,999,7258.204,2773019904
"23969",1200,38.8,-78.1,40,1001,7258.204,2773019904
"23970",1800,39.6,-76.9,35,1004,7258.204,2773019904
"23971",0,40.2,-75.7,35,1003,7258.204,2773019904
"23972",600,40.5,-74.5,40,1001,7258.204,2773019904
"23973",1200,40.7,-73,40,998,7258.204,2773019904
"24008",1800,23.4,-60,50,998,7258.204,2773019904
"24012",1800,25.3,-63.1,65,987,7258.204,2773019904
"24015",1200,26.7,-63.8,50,992,7258.204,2773019904
"24016",1800,27.1,-64,50,993,7258.204,2773019904
"24017",0,27.4,-64.2,50,991,7258.204,2773019904
"24020",1800,28.3,-64,55,990,7258.204,2773019904
"24027",1200,35,-59.4,85,967,7258.204,2773019904
"24075",1800,24.7,-48.5,65,989,7258.204,2773019904
"24078",1200,27.4,-52.4,80,975,7258.204,2773019904
"24079",1800,28.2,-53.3,80,971,7258.204,2773019904
"24080",0,29.3,-53.9,75,977,7258.204,2773019904
"24083",1800,31.3,-55.2,90,967,7258.204,2773019904
"24091",1800,40.7,-49.7,80,975,7258.204,2773019904
"24093",600,44,-44,70,976,7258.204,2773019904
"24103",1200,23,-97,65,997,7258.204,2773019904
"24104",1800,23.3,-97.5,65,996,7258.204,2773019904
"24105",2200,23.1,-97.8,65,996,7258.204,2773019904
"24120",1800,14,-55.8,35,1007,7258.204,2773019904
"24127",1200,17.9,-60.6,50,1001,7258.204,2773019904
"24128",1800,18.5,-61.4,50,1000,7258.204,2773019904
"24131",1200,21.9,-64.4,70,990,7258.204,2773019904
"24135",1200,24.1,-69.3,75,985,7258.204,2773019904
"24138",600,25.7,-71.9,90,971,7258.204,2773019904
"24139",1200,26.3,-72.5,105,950,7258.204,2773019904
"24140",1800,27,-73.2,120,938,7258.204,2773019904
"24143",1200,29.8,-75.3,110,943,7258.204,2773019904
"24147",1100,34.7,-76.7,90,955,7258.204,2773019904
"24148",1200,34.8,-76.7,90,955,7258.204,2773019904
"24151",600,36.6,-75.7,65,976,7258.204,2773019904
"24153",1800,38,-72,75,982,7258.204,2773019904
"24154",0,39.3,-68.3,80,976,7258.204,2773019904
"24177",1500,20,-68.5,55,996,7258.204,2773019904
"24182",1800,20.2,-73.6,70,986,7258.204,2773019904
"24183",2100,20.2,-74.2,70,986,7258.204,2773019904
"24188",0,19.5,-80.6,60,995,7258.204,2773019904
"24189",300,19.3,-81.2,65,995,7258.204,2773019904
"24191",1200,19.1,-83.4,90,980,7258.204,2773019904
"24193",0,19.2,-85.4,105,963,7258.204,2773019904
"24201",1800,21,-92,65,985,7258.204,2773019904
"24204",1200,21.5,-94.2,85,970,7258.204,2773019904
"24208",1100,22.3,-97.9,105,952,7258.204,2773019904
"24209",1200,22.3,-98.1,105,952,7258.204,2773019904
"24217",1200,13,-58.9,80,979,7258.204,2773019904
"24222",1800,13,-64.8,60,996,7258.204,2773019904
"24225",1200,13.7,-68.2,55,996,7258.204,2773019904
"24226",1800,13.8,-69.4,60,995,7258.204,2773019904
"24229",1200,13.9,-72.9,65,993,7258.204,2773019904
"24230",1800,14.2,-74.2,70,988,7258.204,2773019904
"24233",1200,15,-77.2,90,970,7258.204,2773019904
"24238",1500,17.3,-83,135,938,7258.204,2773019904
"24242",500,18.4,-87.8,150,914,7258.204,2773019904
"24243",600,18.5,-88.2,150,914,7258.204,2773019904
"24244",1200,18.9,-90.2,105,950,7258.204,2773019904
"24301",1800,16.2,-72.9,75,984,7258.204,2773019904
"24306",1800,20.5,-70.6,50,1000,7258.204,2773019904
"24310",1800,26.9,-67.1,50,999,7258.204,2773019904
"24320",1800,18.1,-62.8,65,991,7258.204,2773019904
"24321",2100,18,-63,65,991,7258.204,2773019904
"24324",1200,16.8,-64.1,55,999,7258.204,2773019904
"24326",0,15.9,-65,50,1000,7258.204,2773019904
"24351",0,21,-93.3,35,1006,7725.119,2822443008
"24353",1200,21.4,-95.6,65,991,7725.119,2822443008
"24365",1800,14.7,-56,90,979,7725.119,2822443008
"24369",1800,16,-61.8,90,979,7725.119,2822443008
"24372",1200,17.9,-65.9,85,981,7725.119,2822443008
"24376",1200,22,-71.4,100,972,7725.119,2822443008
"24380",1200,25.7,-76,105,960,7725.119,2822443008
"24382",0,27.2,-76.9,90,968,7725.119,2822443008
"24384",1200,28.3,-76.7,95,963,7725.119,2822443008
"24387",600,29.9,-75.2,80,973,7725.119,2822443008
"24390",0,33.7,-72.4,100,954,7725.119,2822443008
"24417",0,30.7,-72.5,35,1003,7725.119,2822443008
"24418",600,31.4,-72,35,1002,7725.119,2822443008
"24419",1200,32,-70.8,40,1000,7725.119,2822443008
"24447",1800,21.1,-93,35,1010,7725.119,2822443008
"24451",1800,21.7,-95.5,45,1004,7725.119,2822443008
"24454",1200,21.1,-96.8,50,1004,7725.119,2822443008
"24455",1800,20.9,-97.3,50,1000,7725.119,2822443008
"24461",1800,26.6,-73.2,50,999,7725.119,2822443008
"24464",1200,28.2,-72,35,1007,7725.119,2822443008
"24478",600,25,-91.1,55,994,7725.119,2822443008
"24481",0,28,-90.9,75,984,7725.119,2822443008
"24483",1000,29.1,-89.4,75,980,7725.119,2822443008
"24484",1200,29.4,-88.9,75,980,7725.119,2822443008
"24486",0,30.4,-86.4,80,974,7725.119,2822443008
"24489",1800,31.9,-83.2,35,998,7725.119,2822443008
"24490",0,32.6,-81.8,40,999,7725.119,2822443008
"24491",600,33.4,-80.3,45,999,7725.119,2822443008
"24492",1200,34.1,-79.1,45,1001,7725.119,2822443008
"24493",1800,34.5,-78.4,45,1001,7725.119,2822443008
"24494",0,34.8,-78,50,1002,7725.119,2822443008
"24495",600,35,-77.6,50,1005,7725.119,2822443008
"24496",1200,35.3,-77.2,50,1008,7725.119,2822443008
"24497",1800,35.6,-76.6,50,1009,7725.119,2822443008
"24498",0,36.3,-75.7,50,1011,7725.119,2822443008
"24523",1800,21.9,-75.3,30,1003,7725.119,2822443008
"24528",0,28.5,-72.3,50,992,7725.119,2822443008
"24534",1200,25.7,-72.1,60,982,7725.119,2822443008
"24539",1800,22.2,-67.1,85,970,7725.119,2822443008
"24542",1200,25.3,-61.7,85,970,7725.119,2822443008
"24644",1800,22.6,-93.5,65,989,7964.756,2873306112
"24645",0,23.1,-93.5,75,979,7964.756,2873306112
"24648",1800,25.6,-93.8,80,973,7964.756,2873306112
"24651",1200,29.3,-93.8,110,946,7964.756,2873306112
"24652",1330,29.8,-93.7,110,946,7964.756,2873306112
"24663",0,27.5,-89.9,55,1000,7964.756,2873306112
"24666",1800,29,-92.2,50,1005,7964.756,2873306112
"24668",600,29.7,-93.9,55,998,7964.756,2873306112
"24696",0,17.4,-42.9,120,945,7964.756,2873306112
"24703",1800,19.1,-49.1,85,975,7964.756,2873306112
"24705",600,19.7,-50.7,75,977,7964.756,2873306112
"24706",1200,19.9,-51.4,70,985,7964.756,2873306112
"24709",600,20.6,-52.4,65,985,7964.756,2873306112
"24710",1200,20.9,-52.4,65,984,7964.756,2873306112
"24711",1800,21.2,-52.4,70,978,7964.756,2873306112
"24714",1200,22.8,-52.6,90,960,7964.756,2873306112
"24715",1800,23.6,-52.7,95,957,7964.756,2873306112
"24717",600,25,-52.5,105,951,7964.756,2873306112
"24718",1200,25.7,-52.4,100,953,7964.756,2873306112
"24719",1800,26.4,-52.2,90,963,7964.756,2873306112
"24721",600,27.7,-52.5,90,964,7964.756,2873306112
"24722",1200,28.1,-53,90,964,7964.756,2873306112
"24723",1800,28.4,-54,90,963,7964.756,2873306112
"24725",600,29.3,-56.5,85,967,7964.756,2873306112
"24726",1200,30,-57.8,90,965,7964.756,2873306112
"24727",1800,30.8,-58.9,90,961,7964.756,2873306112
"24728",0,31.4,-59.9,90,964,7964.756,2873306112
"24729",600,32,-60.9,85,966,7964.756,2873306112
"24730",1200,32.5,-62,80,969,7964.756,2873306112
"24732",0,33.9,-63.6,80,970,7964.756,2873306112
"24733",600,34.6,-64.3,75,974,7964.756,2873306112
"24734",1200,35.3,-64.2,75,975,7964.756,2873306112
"24735",1800,35.8,-63.3,75,978,7964.756,2873306112
"24737",600,36,-60.7,70,978,7964.756,2873306112
"24738",1200,35.9,-59.3,70,978,7964.756,2873306112
"24742",1200,34.7,-53.4,80,970,7964.756,2873306112
"24769",1200,29.7,-87,35,1003,7964.756,2873306112
"24778",0,23.4,-93,40,1000,7964.756,2873306112
"24781",1800,25.1,-92.8,40,1004,7964.756,2873306112
"24783",600,27.9,-91.6,50,1000,7964.756,2873306112
"24786",0,31.5,-90.7,35,1002,7964.756,2873306112
"24793",1200,27.2,-65.8,30,1005,7964.756,2873306112
"24794",1800,27.5,-65.5,30,1004,7964.756,2873306112
"24796",600,27.5,-66.7,40,1001,7964.756,2873306112
"24801",1200,27.3,-71.8,45,1004,7964.756,2873306112
"24805",1200,31.5,-71,45,1002,7964.756,2873306112
"24807",0,33.2,-68.5,60,995,7964.756,2873306112
"24810",1800,37.4,-62.6,75,975,7964.756,2873306112
"24811",0,38.8,-60.8,75,976,7964.756,2873306112
"24865",1800,18.5,-52.9,45,1006,8215.483,2925687040
"24880",1200,33.5,-73,40,1004,8215.483,2925687040
"24899",1800,14.6,-47.1,100,960,8215.483,2925687040
"24902",1200,16.7,-49.4,115,951,8215.483,2925687040
"24903",1800,18.1,-49.6,120,947,8215.483,2925687040
"24904",0,19.8,-49.9,115,953,8215.483,2925687040
"24905",600,21.3,-50.4,115,956,8215.483,2925687040
"24906",1200,22.7,-51,110,954,8215.483,2925687040
"24909",600,26.7,-53.4,90,959,8215.483,2925687040
"24910",1200,28.1,-54.4,85,965,8215.483,2925687040
"24911",1800,29.4,-55.3,85,968,8215.483,2925687040
"24914",1200,33.1,-56.5,80,973,8215.483,2925687040
"24915",1800,34.4,-56.2,80,972,8215.483,2925687040
"24918",1200,39.9,-52.4,85,973,8215.483,2925687040
"24919",1800,42.4,-49.9,80,980,8215.483,2925687040
"24937",0,26.3,-74.9,50,1002,8215.483,2925687040
"24938",600,26.5,-75.3,50,1000,8215.483,2925687040
"24939",1200,26.7,-75.5,55,996,8215.483,2925687040
"24940",1800,27.1,-75.8,55,997,8215.483,2925687040
"24941",0,27.5,-76.3,60,992,8215.483,2925687040
"24943",1200,28.1,-77,85,975,8215.483,2925687040
"24944",1800,28.5,-77.1,85,975,8215.483,2925687040
"24945",0,28.8,-76.9,90,972,8215.483,2925687040
"24947",1200,29.2,-76,110,952,8215.483,2925687040
"24948",1800,29.6,-75.6,115,948,8215.483,2925687040
"24952",1800,34.7,-74.1,95,965,8215.483,2925687040
"24953",0,36.3,-73.9,95,965,8215.483,2925687040
"24954",600,38,-72.6,90,969,8215.483,2925687040
"24956",1800,41.5,-67.9,70,980,8215.483,2925687040
"24969",0,16.8,-70.7,75,983,8215.483,2925687040
"24972",1800,19.1,-74.8,70,995,8215.483,2925687040
"24976",1800,21.3,-79.2,45,1004,8215.483,2925687040
"24979",1100,21.8,-82.7,55,1003,8215.483,2925687040
"24980",1200,21.9,-83,55,1003,8215.483,2925687040
"24983",0,22.4,-85.4,60,1001,8215.483,2925687040
"24989",1200,26.3,-92.8,50,1002,8215.483,2925687040
"24991",0,27.1,-95.3,50,1001,8215.483,2925687040
"24992",600,27.4,-96.8,50,1001,8215.483,2925687040
"24993",800,27.5,-97.2,50,1001,8215.483,2925687040
"24995",1800,27.5,-98.8,25,1002,8215.483,2925687040
"24996",0,27.5,-99.5,25,1005,8215.483,2925687040
"25002",1800,14.4,-53.7,45,1000,8215.483,2925687040
"25007",0,18.5,-59.6,60,1004,8215.483,2925687040
"25009",1200,20.5,-62.1,60,1003,8215.483,2925687040
"25010",1800,21.1,-63.1,60,1000,8215.483,2925687040
"25011",0,21.6,-63.8,55,1003,8215.483,2925687040
"25014",1800,22.9,-65.4,55,1000,8215.483,2925687040
"25017",1200,23.6,-66.3,40,1003,8215.483,2925687040
"25018",1800,23.8,-66.4,35,1007,8215.483,2925687040
"25022",1800,26.1,-67.1,30,1009,8215.483,2925687040
"25025",1200,28.4,-65.8,25,1010,8215.483,2925687040
